change_date,metric_file,metric_name,old_value,new_value,direction,attribution,source,source_url,notes
2026-01-09,housing_units.csv,tiny_homes_in_storage,250,150,decrease_good,harrell,Seattle Times,https://www.seattletimes.com/seattle-news/the-saga-of-seattles-empty-tiny-homes-is-building-to-a-head/,~100 deployed to LIHI villages; 65 transferred to Tacoma
2026-01-09,overdose_deaths.csv,annual_deaths_2025,949,908,decrease_good,external,King County Public Health,https://kingcounty.gov/en/dept/dph/health-safety/disease-illness/drug-overdose,Final 2025 count; lowest since 2021
2026-01-09,spending.csv,federal_funding_gap,NA,40000000,increase_bad,external,PubliCola,https://publicola.com/,HUD CoC rule changes create 30% cap on permanent housing funds
2026-01-09,spending.csv,households_at_risk,NA,4500,increase_bad,external,PubliCola,https://publicola.com/,Households at risk from federal funding gap
2026-01-19,spending.csv,kcrha_layoffs,NA,13,increase_bad,external,FOX 13,https://www.fox13seattle.com/,22% staff reduction due to $4.7M shortfall
2026-01-19,housing_units.csv,wilson_executive_order,NA,0,neutral,wilson,Mayor Wilson Office,https://wilson.seattle.gov/2026/01/15/mayor-wilson-announces-executive-orders-to-accelerate-shelter-and-improve-transit/,EO to accelerate shelter; interdepartmental team to identify sites; recommendations due March 2026
2026-04-30,crime_stats.csv,seattle_homicides_2025,25,37,decrease_good,external,SPD Year in Review,https://spdblotter.seattle.gov/2026/02/02/2025-spd-year-in-review/,SPD official final: 37 homicides (36% drop from 58). Prior 25 value was a mid-count projection from The Center Square
2026-04-30,crime_stats.csv,seattle_total_crime_change_2025,-23,-18,decrease_good,external,SPD Year in Review,https://spdblotter.seattle.gov/2026/02/02/2025-spd-year-in-review/,SPD final -18% vs April 2025 projection of -23%
2026-04-30,housing_units.csv,olympic_hills_opened,NA,45,increase_good,wilson,Hoodline / KOMO,https://hoodline.com/2026/02/lake-city-tiny-house-village-throws-open-its-doors-to-neighbors-in-need/,Olympic Hills Village opens in Lake City Feb 2026; 45 units; first new deployed village under Wilson
2026-04-30,housing_units.csv,wilson_legislation_target,NA,1000,increase_good,wilson,Mayor Wilson Office,https://wilson.seattle.gov/2026/03/04/neighbor-by-neighbor-mayor-announces-legislation-to-rapidly-expand-shelter-and-calls-on-whole-city-to-be-part-of-the-solution/,March 4 2026 legislation: 1000-unit shelter target + $4.8M + cap lift 100->150 per site
2026-04-30,spending.csv,wilson_shelter_allocation,NA,4800000,increase_good,wilson,Mayor Wilson Office,https://wilson.seattle.gov/2026/03/04/neighbor-by-neighbor-mayor-announces-legislation-to-rapidly-expand-shelter-and-calls-on-whole-city-to-be-part-of-the-solution/,$3.3M revolving loan + $1.5M Downtown Health fund reallocated to shelter expansion
2026-04-30,spending.csv,hud_nofo_max,NA,19000000,decrease_bad,external,Center Square,https://www.thecentersquare.com/washington/article_83090bb7-2397-4de2-8011-12effe624b52.html,HUD CoC NOFO max confirmed at $19M (71% cut from $65M typical) — federal side of the $40M gap firmed up
2026-04-30,health_through_housing.csv,cumulative_housed,NA,1000,increase_good,external,King County DCHS,https://kcemployees.com/2026/02/27/dchs-led-health-through-housing-initiative-hits-major-milestone/,HTH milestone: >1000 formerly homeless KC residents housed
2026-04-30,health_through_housing.csv,booker_house_opened,NA,1,increase_good,external,King County DCHS,https://content.govdelivery.com/bulletins/gd/WAKING-4068e8b?wgt_ref=WAKING_WIDGET_11,Booker House PSH opens Jan 2026 in South King County
2026-04-30,tiny_home_villages.csv,wilson_capacity_lift,100,150,increase_good,wilson,CHS Capitol Hill Seattle,https://www.capitolhillseattle.com/2026/04/mayors-office-points-to-los-angeles-in-seattles-push-for-larger-tiny-house-villages/,Wilson legislation raises per-site cap; 250 per district allowed
